,All,IMU_only,FSR_only,Arm_and_FSR,Back_and_FSR
mean_accuracy,0.7916619007673369,0.6768871440947136,0.6479949282649524,0.7641151666997472,0.7059366563774417
std_accuracy,0.10670839519157967,0.05974726594426989,0.10293201518220989,0.14200906201683472,0.08890120628183941
mean_f1,0.7543453267361203,0.6678023341694727,0.5705749765217435,0.7158143224924949,0.6470894701945149
std_f1,0.12029108232334831,0.07340527920737121,0.11132450278651472,0.17250071752375898,0.10318123617967831
mean_precision,0.827074686096605,0.7124139189728973,0.6183382852712749,0.7611287149435626,0.704758104712052
std_precision,0.0832299862095202,0.07726080350230521,0.10764610679325669,0.16617580544000649,0.10131008084642237
mean_recall,0.7686045875420876,0.6840746244496245,0.5967650405150405,0.7383516414141413,0.6682405002405003
std_recall,0.11283292321402413,0.06582899023922471,0.10642160851262693,0.1513358673401814,0.09230350689323978
